0.776, 0.005, 0.026, 0.07, 0.06, 0.063, 0.0, 0.0, 
0.028, 0.3, 0.007, 0.315, 0.014, 0.051, 0.013, 0.272, 
0.888, 0.02, 0.06, 0.023, 0.009, 0.0, 0.0, 0.0, 
0.836, 0.006, 0.072, 0.044, 0.007, 0.022, 0.009, 0.004, 
0.014, 0.912, 0.011, 0.016, 0.014, 0.033, 0.0, 0.0, 
0.04, 0.938, 0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.014, 0.875, 0.006, 0.083, 0.022, 0.0, 0.0, 0.0, 
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.888, 0.023, 0.052, 0.037, 0.0, 0.0, 0.0, 0.0, 
0.008, 0.025, 0.018, 0.411, 0.5, 0.015, 0.023, 0.0, 
0.026, 0.063, 0.136, 0.439, 0.035, 0.099, 0.202, 0.0, 
0.078, 0.922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.035, 0.79, 0.008, 0.038, 0.067, 0.062, 0.0, 0.0, 
0.013, 0.061, 0.818, 0.012, 0.018, 0.006, 0.025, 0.047, 
0.038, 0.037, 0.908, 0.017, 0.0, 0.0, 0.0, 0.0, 
0.054, 0.033, 0.005, 0.88, 0.005, 0.023, 0.0, 0.0, 
0.017, 0.01, 0.922, 0.02, 0.031, 0.0, 0.0, 0.0, 
0.053, 0.025, 0.788, 0.015, 0.074, 0.045, 0.0, 0.0, 
0.089, 0.022, 0.019, 0.019, 0.787, 0.018, 0.022, 0.024, 
0.175, 0.012, 0.636, 0.158, 0.006, 0.013, 0.0, 0.0, 
0.038, 0.023, 0.017, 0.782, 0.039, 0.092, 0.009, 0.0, 
0.082, 0.041, 0.034, 0.033, 0.74, 0.045, 0.007, 0.018, 
0.08, 0.017, 0.903, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.016, 0.008, 0.021, 0.09, 0.03, 0.815, 0.02, 0.0, 
0.03, 0.026, 0.021, 0.057, 0.037, 0.803, 0.004, 0.022, 
0.066, 0.084, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.008, 0.992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.021, 0.019, 0.093, 0.016, 0.851, 0.0, 0.0, 0.0, 
0.028, 0.972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.02, 0.066, 0.08, 0.038, 0.063, 0.711, 0.022, 0.0, 
0.124, 0.061, 0.815, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.038, 0.02, 0.024, 0.064, 0.009, 0.035, 0.81, 0.0, 
0.866, 0.008, 0.017, 0.034, 0.005, 0.07, 0.0, 0.0, 
0.856, 0.022, 0.004, 0.052, 0.01, 0.056, 0.0, 0.0, 
0.736, 0.036, 0.062, 0.13, 0.036, 0.0, 0.0, 0.0, 
