0.104, 0.085, 0.441, 0.37, 
0.3, 0.03, 0.67, 0.0, 
0.2, 0.423, 0.346, 0.031, 
0.322, 0.11, 0.508, 0.06, 
0.517, 0.044, 0.063, 0.376, 
0.563, 0.143, 0.095, 0.199, 
0.513, 0.234, 0.096, 0.157, 
0.263, 0.282, 0.455, 0.0, 
0.115, 0.257, 0.176, 0.452, 
0.077, 0.667, 0.078, 0.178, 
0.048, 0.614, 0.328, 0.01, 
0.025, 0.242, 0.49, 0.243, 
0.191, 0.31, 0.037, 0.462, 
0.69, 0.048, 0.243, 0.019, 
0.73, 0.125, 0.145, 0.0, 
0.645, 0.114, 0.165, 0.076, 
0.416, 0.01, 0.556, 0.018, 
0.037, 0.252, 0.098, 0.613, 
0.229, 0.333, 0.43, 0.008, 
0.131, 0.601, 0.051, 0.217, 
0.091, 0.378, 0.029, 0.502, 
0.528, 0.326, 0.034, 0.112, 
0.683, 0.066, 0.131, 0.12, 
0.549, 0.11, 0.323, 0.018, 
0.12, 0.271, 0.584, 0.025, 
0.017, 0.056, 0.927, 0.0, 
0.355, 0.29, 0.109, 0.246, 
0.032, 0.069, 0.725, 0.174, 
0.267, 0.285, 0.274, 0.174, 
0.363, 0.4, 0.062, 0.175, 
0.292, 0.198, 0.47, 0.04, 
0.04, 0.084, 0.754, 0.122, 
0.003, 0.928, 0.069, 0.0, 
0.13, 0.779, 0.066, 0.025, 
0.273, 0.108, 0.46, 0.159, 
0.158, 0.324, 0.269, 0.249, 
0.206, 0.291, 0.095, 0.408, 
0.131, 0.252, 0.485, 0.132, 
0.456, 0.143, 0.401, 0.0, 
0.385, 0.094, 0.231, 0.29, 
0.108, 0.692, 0.084, 0.116, 
0.078, 0.189, 0.517, 0.216, 
0.387, 0.075, 0.247, 0.291, 
0.061, 0.423, 0.235, 0.281, 
0.214, 0.387, 0.303, 0.096, 
0.085, 0.464, 0.367, 0.084, 
0.066, 0.667, 0.038, 0.229, 
0.458, 0.039, 0.382, 0.121, 
0.12, 0.116, 0.593, 0.171, 
0.195, 0.191, 0.521, 0.093, 
0.135, 0.196, 0.308, 0.361, 
0.117, 0.3, 0.453, 0.13, 
0.359, 0.076, 0.371, 0.194, 
0.213, 0.487, 0.294, 0.006, 
0.041, 0.666, 0.223, 0.07, 
0.781, 0.066, 0.127, 0.026, 
0.107, 0.734, 0.043, 0.116, 
0.171, 0.516, 0.029, 0.284, 
0.161, 0.39, 0.152, 0.297, 
0.256, 0.07, 0.45, 0.224, 
0.093, 0.103, 0.496, 0.308, 
0.278, 0.04, 0.092, 0.59, 
0.669, 0.035, 0.18, 0.116, 
0.614, 0.144, 0.149, 0.093, 
0.441, 0.127, 0.302, 0.13, 
0.059, 0.419, 0.244, 0.278, 
0.47, 0.273, 0.082, 0.175, 
0.433, 0.246, 0.166, 0.155, 
0.548, 0.081, 0.249, 0.122, 
0.152, 0.472, 0.197, 0.179, 
0.589, 0.346, 0.05, 0.015, 
0.521, 0.264, 0.028, 0.187, 
0.132, 0.354, 0.407, 0.107, 
0.215, 0.192, 0.349, 0.244, 
0.31, 0.077, 0.202, 0.411, 
0.441, 0.133, 0.2, 0.226, 
0.168, 0.128, 0.075, 0.629, 
0.118, 0.285, 0.066, 0.531, 
0.435, 0.248, 0.282, 0.035, 
0.191, 0.369, 0.376, 0.064, 
0.208, 0.296, 0.312, 0.184, 
0.201, 0.121, 0.517, 0.161, 
0.109, 0.503, 0.212, 0.176, 
0.231, 0.488, 0.201, 0.08, 
0.026, 0.35, 0.478, 0.146, 
