0.801, 0.003, 0.028, 0.012, 0.015, 0.017, 0.124, 0.0, 
0.041, 0.466, 0.007, 0.103, 0.092, 0.244, 0.044, 0.003, 
0.013, 0.549, 0.099, 0.062, 0.016, 0.048, 0.058, 0.155, 
0.086, 0.666, 0.017, 0.058, 0.06, 0.089, 0.005, 0.019, 
0.714, 0.032, 0.097, 0.074, 0.025, 0.058, 0.0, 0.0, 
0.152, 0.007, 0.721, 0.007, 0.022, 0.022, 0.015, 0.054, 
0.345, 0.5, 0.035, 0.04, 0.012, 0.065, 0.003, 0.0, 
0.013, 0.037, 0.135, 0.179, 0.052, 0.253, 0.329, 0.002, 
0.01, 0.129, 0.104, 0.069, 0.646, 0.007, 0.003, 0.032, 
0.015, 0.133, 0.047, 0.805, 0.0, 0.0, 0.0, 0.0, 
0.056, 0.012, 0.07, 0.038, 0.014, 0.722, 0.04, 0.048, 
0.118, 0.137, 0.118, 0.486, 0.093, 0.016, 0.032, 0.0, 
0.082, 0.007, 0.01, 0.805, 0.096, 0.0, 0.0, 0.0, 
0.68, 0.016, 0.019, 0.045, 0.017, 0.013, 0.072, 0.138, 
0.035, 0.02, 0.016, 0.011, 0.11, 0.808, 0.0, 0.0, 
0.056, 0.117, 0.055, 0.038, 0.026, 0.018, 0.149, 0.541, 
0.087, 0.037, 0.108, 0.252, 0.033, 0.068, 0.344, 0.071, 
0.082, 0.021, 0.367, 0.328, 0.129, 0.027, 0.007, 0.039, 
0.245, 0.038, 0.216, 0.071, 0.087, 0.013, 0.306, 0.024, 
0.323, 0.014, 0.006, 0.043, 0.043, 0.498, 0.02, 0.053, 
0.361, 0.143, 0.206, 0.016, 0.02, 0.06, 0.167, 0.027, 
0.026, 0.044, 0.142, 0.158, 0.048, 0.45, 0.098, 0.034, 
0.162, 0.038, 0.06, 0.054, 0.081, 0.481, 0.087, 0.037, 
0.029, 0.063, 0.438, 0.212, 0.072, 0.068, 0.085, 0.033, 
0.094, 0.211, 0.142, 0.134, 0.059, 0.148, 0.15, 0.062, 
0.212, 0.015, 0.081, 0.019, 0.299, 0.044, 0.255, 0.075, 
0.139, 0.093, 0.035, 0.029, 0.216, 0.023, 0.058, 0.407, 
0.299, 0.046, 0.063, 0.307, 0.016, 0.167, 0.09, 0.012, 
0.256, 0.026, 0.034, 0.241, 0.01, 0.098, 0.219, 0.116, 
0.486, 0.054, 0.016, 0.109, 0.025, 0.06, 0.246, 0.004, 
0.292, 0.009, 0.027, 0.009, 0.597, 0.022, 0.011, 0.033, 
0.487, 0.09, 0.159, 0.013, 0.16, 0.034, 0.02, 0.037, 
0.079, 0.095, 0.325, 0.115, 0.145, 0.068, 0.173, 0.0, 
0.443, 0.098, 0.015, 0.154, 0.024, 0.069, 0.192, 0.005, 
0.032, 0.058, 0.08, 0.047, 0.053, 0.375, 0.335, 0.02, 
0.066, 0.009, 0.021, 0.009, 0.811, 0.006, 0.078, 0.0, 
0.15, 0.046, 0.01, 0.025, 0.224, 0.019, 0.11, 0.416, 
0.198, 0.252, 0.054, 0.079, 0.241, 0.176, 0.0, 0.0, 
0.265, 0.081, 0.239, 0.015, 0.36, 0.031, 0.009, 0.0, 
0.305, 0.072, 0.061, 0.232, 0.204, 0.093, 0.005, 0.028, 
0.272, 0.028, 0.036, 0.04, 0.022, 0.322, 0.226, 0.054, 
0.26, 0.182, 0.061, 0.032, 0.098, 0.211, 0.023, 0.133, 
0.062, 0.033, 0.164, 0.125, 0.065, 0.444, 0.07, 0.037, 
0.402, 0.022, 0.028, 0.039, 0.024, 0.425, 0.049, 0.011, 
0.007, 0.277, 0.029, 0.03, 0.335, 0.01, 0.093, 0.219, 
0.432, 0.088, 0.028, 0.119, 0.029, 0.026, 0.193, 0.085, 
0.321, 0.043, 0.072, 0.013, 0.115, 0.033, 0.141, 0.262, 
0.585, 0.011, 0.138, 0.02, 0.085, 0.01, 0.127, 0.024, 
0.627, 0.006, 0.071, 0.062, 0.067, 0.053, 0.053, 0.061, 
0.413, 0.074, 0.266, 0.007, 0.029, 0.113, 0.098, 0.0, 
0.252, 0.009, 0.071, 0.021, 0.015, 0.433, 0.07, 0.129, 
0.283, 0.113, 0.137, 0.083, 0.082, 0.019, 0.183, 0.1, 
0.358, 0.059, 0.114, 0.032, 0.047, 0.023, 0.186, 0.181, 
0.416, 0.039, 0.016, 0.136, 0.182, 0.116, 0.004, 0.091, 
0.178, 0.079, 0.025, 0.244, 0.252, 0.072, 0.124, 0.026, 
