1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.994, 0.002, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.947, 0.011, 0.011, 0.031, 0.0, 0.0, 0.0, 0.0, 
0.984, 0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.805, 0.031, 0.038, 0.01, 0.116, 0.0, 0.0, 0.0, 
0.016, 0.684, 0.008, 0.248, 0.003, 0.014, 0.017, 0.01, 
0.96, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.583, 0.025, 0.015, 0.196, 0.181, 0.0, 0.0, 0.0, 
0.98, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.025, 0.831, 0.03, 0.008, 0.023, 0.039, 0.021, 0.023, 
0.01, 0.863, 0.127, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.025, 0.043, 0.202, 0.047, 0.065, 0.038, 0.195, 0.385, 
0.971, 0.021, 0.003, 0.005, 0.0, 0.0, 0.0, 0.0, 
0.004, 0.996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.027, 0.967, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.004, 0.036, 0.018, 0.005, 0.896, 0.033, 0.008, 0.0, 
0.075, 0.687, 0.034, 0.066, 0.02, 0.012, 0.011, 0.095, 
0.715, 0.052, 0.179, 0.015, 0.009, 0.016, 0.014, 0.0, 
0.105, 0.807, 0.051, 0.013, 0.003, 0.011, 0.01, 0.0, 
0.027, 0.025, 0.937, 0.002, 0.005, 0.002, 0.002, 0.0, 
0.091, 0.038, 0.013, 0.011, 0.847, 0.0, 0.0, 0.0, 
0.007, 0.07, 0.003, 0.908, 0.004, 0.008, 0.0, 0.0, 
0.869, 0.028, 0.098, 0.005, 0.0, 0.0, 0.0, 0.0, 
0.006, 0.005, 0.989, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.028, 0.038, 0.004, 0.117, 0.813, 0.0, 0.0, 0.0, 
0.047, 0.07, 0.739, 0.029, 0.008, 0.003, 0.076, 0.028, 
0.072, 0.896, 0.032, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.025, 0.122, 0.046, 0.648, 0.024, 0.026, 0.067, 0.042, 
0.039, 0.019, 0.009, 0.914, 0.019, 0.0, 0.0, 0.0, 
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.065, 0.046, 0.889, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.007, 0.965, 0.017, 0.009, 0.002, 0.0, 0.0, 0.0, 
0.073, 0.029, 0.892, 0.003, 0.003, 0.0, 0.0, 0.0, 
0.077, 0.052, 0.019, 0.016, 0.802, 0.011, 0.023, 0.0, 
0.125, 0.002, 0.018, 0.855, 0.0, 0.0, 0.0, 0.0, 
0.223, 0.054, 0.005, 0.085, 0.071, 0.51, 0.052, 0.0, 
0.025, 0.066, 0.093, 0.052, 0.007, 0.028, 0.729, 0.0, 
0.242, 0.06, 0.042, 0.021, 0.635, 0.0, 0.0, 0.0, 
0.075, 0.138, 0.064, 0.014, 0.038, 0.644, 0.027, 0.0, 
0.021, 0.041, 0.017, 0.921, 0.0, 0.0, 0.0, 0.0, 
