284, 312, 387, 463, 
284, 312, 387, 463, 
312, 387, 463, -1, 
312, 387, 463, 481, 
284, 312, 387, 493, 
284, 312, 387, 493, 
312, 450, 454, 463, 
312, 450, 463, 481, 
338, 454, 481, 490, 
338, 481, -1, -1, 
338, 481, -1, -1, 
454, 463, 490, -1, 
338, 450, 490, -1, 
338, 490, 491, -1, 
338, 450, 490, 491, 
338, 450, 490, 491, 
282, 454, 455, 470, 
282, 455, 470, 481, 
282, 454, 455, 481, 
282, 454, 470, 487, 
282, 454, 481, 487, 
454, 468, 481, 487, 
454, 468, 481, 487, 
454, 463, 487, -1, 
282, 455, 470, 481, 
282, 455, 470, 481, 
282, 454, 455, 481, 
282, 454, 470, 481, 
453, 454, 463, 487, 
453, 454, 463, 487, 
453, 454, 468, 487, 
419, 454, 455, 463, 
454, 470, 481, -1, 
282, 453, 454, 481, 
293, 453, 454, 455, 
293, 454, 455, 470, 
453, 454, 463, 487, 
453, 454, 463, 487, 
453, 454, 463, 487, 
453, 454, 468, -1, 
282, 338, 455, 470, 
282, 338, 455, 470, 
282, 338, 455, 470, 
282, 338, 455, 470, 
282, 304, 455, 481, 
259, 282, 455, 470, 
282, 293, 455, 470, 
282, 293, 419, 455, 
282, 293, 455, 470, 
338, 490, 491, -1, 
183, 338, 470, 491, 
183, 192, 338, 491, 
192, 287, 338, 491, 
192, 338, 435, 491, 
259, 338, 435, -1, 
145, 192, 435, 491, 
145, 192, 435, 491, 
145, 192, 435, 491, 
145, 192, 259, 491, 
145, 259, 435, 491, 
192, 259, 435, 491, 
192, 259, 404, 491, 
145, 192, 259, 491, 
259, 282, 470, -1, 
183, 259, 282, 470, 
259, 282, 455, 470, 
192, 282, 455, -1, 
259, 470, 479, -1, 
259, 470, 479, -1, 
259, 304, 470, 479, 
259, 282, 470, 479, 
183, 259, 282, 470, 
192, 259, 282, 470, 
259, 282, 470, -1, 
183, 259, 282, 470, 
183, 192, 246, 259, 
183, 192, 259, 435, 
282, 304, 455, 457, 
282, 304, 455, 457, 
259, 282, 470, 479, 
259, 282, 304, 479, 
259, 282, 293, 470, 
259, 282, 470, 479, 
293, 304, 338, 470, 
282, 293, 304, 338, 
282, 304, 338, 470, 
183, 338, 470, -1, 
183, 192, 338, 435, 
183, 338, 470, -1, 
145, 183, 192, 338, 
304, 338, -1, -1, 
183, 192, 259, 282, 
259, 282, 304, 435, 
183, 192, 259, 491, 
192, 259, 435, -1, 
455, 470, -1, -1, 
145, 183, 192, 338, 
183, 338, 470, 491, 
145, 183, 192, 338, 
192, 338, 435, 491, 
183, 192, 435, 491, 
183, 192, 259, 491, 
145, 192, 259, 491, 
145, 192, 435, 491, 
284, 312, 468, 493, 
312, 463, 477, 493, 
312, 463, 481, 493, 
312, 463, 481, 493, 
312, 463, 477, 493, 
454, 463, 493, -1, 
463, 481, 490, 493, 
312, 454, 463, 481, 
454, 463, 481, 490, 
338, 454, 481, 490, 
282, 454, 481, 493, 
454, 481, 493, -1, 
